date,open,high,low,close,volume,trade_count,vwap,symbol
4/22/2019,89.69,90.47,89.58,89.6,970834,9479,90.000447,BUD
4/23/2019,88.56,89.79,88.5,89.25,755451,7907,89.242818,BUD
4/24/2019,89.02,89.13,87.82,88.21,1038366,11509,88.324096,BUD
4/25/2019,86.89,87.02,86,86.64,1341678,13124,86.467163,BUD
4/26/2019,87.38,87.625,86.83,87.58,920430,9005,87.292918,BUD
4/29/2019,87.35,88.37,87.27,88.01,840389,8728,87.93627,BUD
4/30/2019,88.32,89.2,88.22,88.94,625659,7270,88.773157,BUD
5/1/2019,88.49,89.37,87.6,87.81,1667578,10121,88.784429,BUD
5/2/2019,88.4,88.52,87.1807,87.54,1428810,11901,87.753182,BUD
5/3/2019,88.1,88.585,87.69,88.1,1070661,11007,88.096009,BUD
5/6/2019,87,88.19,86.87,87.77,1137542,11035,87.639212,BUD
5/7/2019,85.08,85.67,83.77,84.26,2062773,20146,84.544363,BUD
5/8/2019,84.59,85.5027,84.47,84.94,1058666,11121,85.082553,BUD
5/9/2019,83.52,84.22,83.04,83.94,1033399,10005,83.720777,BUD
5/10/2019,84.07,84.44,83.295,84.14,825859,9369,83.917245,BUD
5/13/2019,82,82.83,81.84,82.73,1321431,12775,82.409175,BUD
5/14/2019,82.46,83.52,82.45,83.01,879900,9092,83.099359,BUD
5/15/2019,82.25,84.11,82.23,83.83,1637447,14267,83.659365,BUD
5/16/2019,83.03,84.59,83,83.88,1233136,12283,83.949511,BUD
5/17/2019,83.28,83.45,82.48,82.64,1147761,10469,82.921165,BUD
5/20/2019,81.8,81.98,80.79,81.01,990083,10447,81.278245,BUD
5/21/2019,81.1,81.36,80.8,81,1406496,13750,81.079583,BUD
5/22/2019,81.32,82.87,81.16,82.62,1200318,11803,82.149771,BUD
5/23/2019,82.12,82.61,81.965,82.3,1379929,11048,82.336913,BUD
5/24/2019,82.88,83.09,82.28,82.76,828182,8165,82.816486,BUD
5/28/2019,82.87,83.12,82.25,82.35,1122435,12027,82.74593,BUD
5/29/2019,81.35,81.48,80.57,81.3,1500774,14972,81.096047,BUD
5/30/2019,81.89,82.69,81.87,82.38,1169795,9025,82.365568,BUD
5/31/2019,80.34,81.63,80.08,81.4,1819726,17573,81.186616,BUD
6/3/2019,81.39,82.39,81.01,82.28,1409370,10890,81.831347,BUD
6/4/2019,83.66,83.96,83.165,83.94,896011,9368,83.611619,BUD
6/5/2019,84,84.06,83.23,83.27,1340375,12597,83.67351,BUD
6/6/2019,83.69,84.14,83.45,84.1,953640,8441,83.815884,BUD
6/7/2019,85.41,85.755,84.95,85.32,1174268,11873,85.358191,BUD
6/10/2019,85.65,85.7,85.16,85.33,1029696,11204,85.417765,BUD
6/11/2019,85.87,86.19,85.36,85.81,885828,9896,85.840676,BUD
6/12/2019,86.65,87,86.56,86.8,701441,7974,86.808841,BUD
6/13/2019,86.33,86.57,85.52,85.93,725055,8011,85.877627,BUD
6/14/2019,84.4,84.83,84.07,84.18,814634,9549,84.349182,BUD
6/17/2019,83.99,84.44,83.85,84.32,779037,7069,84.229281,BUD
6/18/2019,85.55,87.26,85.49,86.87,2427089,20627,86.757898,BUD
6/19/2019,87.21,88.256,87.07,87.92,944839,10128,87.749057,BUD
6/20/2019,89.73,89.83,89.06,89.74,1897196,13211,89.475313,BUD
6/21/2019,89.64,90.48,89.43,90.08,1225969,11826,90.066249,BUD
6/24/2019,89.93,90.59,89.8278,90.08,877519,9004,90.180958,BUD
6/25/2019,89.57,89.7,88.36,88.4,1098063,12428,88.815452,BUD
6/26/2019,88.71,88.71,87.31,87.37,897581,9680,87.768166,BUD
6/27/2019,87.11,87.29,86.4,87.2,1107212,11461,86.891096,BUD
6/28/2019,88.22,88.69,88.12,88.51,890469,9238,88.437189,BUD
7/1/2019,88.56,88.82,87.85,88.43,1127752,9790,88.353097,BUD
7/2/2019,89.57,90.82,89.47,90.65,1459976,12735,90.383591,BUD
7/3/2019,93.31,94.16,92.87,93.93,1552523,14990,93.637161,BUD
7/5/2019,92.83,92.89,91.96,92.71,1112826,12700,92.458643,BUD
7/8/2019,92.45,92.63,91.555,91.68,936305,10364,92.017916,BUD
7/9/2019,91.89,92.11,91.245,91.51,1717665,16980,91.602596,BUD
7/10/2019,91.8,91.88,90.61,91.35,1657277,14151,91.158102,BUD
7/11/2019,90.45,90.79,89.2,89.66,2837955,24656,89.841682,BUD
7/12/2019,88.49,88.85,85.25,86.94,5686633,45604,87.058824,BUD
7/15/2019,87.77,88.58,87.66,88.56,2553123,19426,88.226659,BUD
7/16/2019,88.24,88.37,87.64,88.01,1523759,15128,87.990474,BUD
7/17/2019,89.37,89.4,88.13,88.42,1432002,15543,88.680741,BUD
7/18/2019,88.87,90.3763,88.42,89.34,2214243,20252,89.376326,BUD
7/19/2019,94.27,94.54,93.02,94.28,5054867,40145,94.036692,BUD
7/22/2019,94.63,95.26,94.39,94.97,2205916,22562,94.837297,BUD
7/23/2019,95.6,95.91,95.23,95.83,2138770,19000,95.698088,BUD
7/24/2019,95.86,96.24,95.06,95.56,1708702,18046,95.791955,BUD
7/25/2019,100.8,102.7,98.33,99.49,6244925,58530,100.478086,BUD
7/26/2019,99.94,100.84,99.7,100.49,2464379,22565,100.245819,BUD
7/29/2019,101.92,102.13,101.22,101.67,2575629,23004,101.706703,BUD
7/30/2019,101,101.69,100.905,101.58,1394941,14281,101.327431,BUD
7/31/2019,101.1,101.99,99.7,100.98,1427982,18668,101.306,BUD
8/1/2019,101.45,102.59,100.19,100.46,1583936,17112,101.358463,BUD
8/2/2019,100.41,100.67,99.38,100.19,925765,11691,100.029728,BUD
8/5/2019,97.8,98.44,97.26,98.19,1543869,17735,97.892806,BUD
8/6/2019,97.4,98.17,97.13,97.7,1181922,14519,97.624714,BUD
8/7/2019,96.84,98.54,96.425,98.17,1200413,15855,97.578335,BUD
8/8/2019,99.15,99.2,96.91,98.51,1463704,15957,97.906186,BUD
8/9/2019,98.42,98.79,97.3218,98.22,1075941,15245,98.058809,BUD
8/12/2019,97.14,97.36,96,96.27,1421948,16642,96.585988,BUD
8/13/2019,95.22,96.98,95.06,95.67,1655406,22852,95.830293,BUD
8/14/2019,94.27,94.37,92.64,93.36,1945755,24047,93.383752,BUD
8/15/2019,93.25,94.07,93.042,93.63,1024567,13597,93.667654,BUD
8/16/2019,94.5,95.46,94.47,95.29,929138,10617,95.049752,BUD
8/19/2019,96.27,96.36,95.73,95.92,955483,10368,96.031802,BUD
8/20/2019,95.42,95.65,94.84,94.95,969762,12082,95.20296,BUD
8/21/2019,96.11,96.41,95.6715,95.87,785384,9949,96.023741,BUD
8/22/2019,96.2,96.27,95.04,95.58,953927,8754,95.506298,BUD
8/23/2019,96.01,96.38,93.86,94.19,1018527,13337,94.963875,BUD
